state,rg_handle,rg_ggr,rg_hold,our_handle,our_ggr,our_hold,handle_diff_pct,hold_diff_bps
AR,,,,104593150.0,10459315.0,10.0,,
AZ,822101252.0,65905378.0,8.02,,,,,
CO,630221223.0,57808187.0,9.64,630221223.0,57808187.0,9.2,0.0,-44.0
CT,237331710.0,21598655.0,9.1,237331710.0,25232234.0,10.6,0.0,150.0
DC,76147822.0,8818009.0,11.58,76147822.0,8818010.0,11.6,0.0,2.0
DE,22205210.0,2138721.0,9.63,22205209.0,2138721.0,9.6,-0.0,-3.0
IA,262330782.14,27800264.52,10.6,262330782.0,27800265.0,10.6,-0.0,0.0
IL,1433408448.0,205958613.0,14.37,1429478199.0,129604476.0,9.1,-0.3,-527.0
IN,523409708.0,49284325.0,9.42,523409708.0,49077139.0,9.4,0.0,-2.0
KS,227310386.0,15197504.0,6.69,227310386.0,15197505.0,6.7,0.0,1.0
KY,295364418.0,30651809.0,10.38,295364418.0,31367632.0,10.6,0.0,22.0
LA,381683705.0,43745027.0,11.46,381683705.0,43745027.0,11.5,0.0,4.0
MA,808920463.0,82401311.0,10.43,808920464.0,84391384.0,10.4,0.0,-3.0
MD,615845563.0,54862717.0,12.7,615845563.0,54862717.0,8.9,0.0,-380.0
ME,60541264.0,7045894.0,11.64,60541264.0,7193935.0,11.9,0.0,26.0
MI,502588166.0,37735814.0,7.51,502588166.0,58826057.0,11.7,0.0,419.0
MO,,,,385138868.0,-6703555.0,-1.7,,
MS,36661306.0,4076613.0,11.12,,,,,
MT,7855447.0,948591.0,12.08,7884294.0,648685.0,8.2,0.4,-388.0
NC,,,,686922931.0,80338762.0,11.7,,
NE,,,,,,,,
NH,90919030.0,10632753.0,11.69,90919030.0,10632753.0,11.7,0.0,1.0
NJ,1034434347.0,112304808.0,10.86,,,,,
NV,795376078.0,64505000.0,8.11,795376079.0,64505000.0,8.1,0.0,-1.0
NY,2448297288.0,251150749.0,10.26,2413423407.0,245700306.0,10.2,-1.4,-6.0
OH,1011186457.0,81137044.0,8.02,930617584.0,99686071.0,10.7,-8.0,268.0
OR,90630000.0,9063000.0,10.0,82150853.0,11109938.0,13.5,-9.4,350.0
PA,782423791.0,95611477.0,12.22,782423791.0,95611477.0,12.2,0.0,-2.0
RI,40721129.0,3428425.0,8.42,40721129.0,3428425.0,8.4,0.0,-2.0
SD,1079319.0,36852.0,3.41,1079320.0,36853.0,3.4,0.0,-1.0
TN,540424861.0,49449125.0,9.15,534585161.0,53458516.0,10.0,-1.1,85.0
VA,687946666.0,75195665.0,10.93,687946666.0,75195665.0,10.9,0.0,-3.0
VT,27409816.0,2574165.0,9.39,27409816.0,2574165.0,9.4,0.0,1.0
WV,45980912.0,5577713.0,12.13,45980913.0,5577714.0,12.1,0.0,-3.0
WY,23345037.0,2844266.0,12.18,23345037.0,2844267.0,12.2,0.0,2.0
